id,name,score,complianceLevel,assignees,due,priority,status,issues,url
86czzwg4q,"Exit Message When on leave",70,poor,"Abhiram s Kumar",Not set,normal,"to do","No due date;Description missing expected output/definition of done",https://app.clickup.com/t/86czzwg4q
86czzwckw,"Clickup task quality checking based on ai",55,poor,"Abhiram s Kumar",Not set,normal,"to do","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czzwckw
86czzk1n6,"Store Insights - Backend Development 
",55,poor,"Abhiram s Kumar",2025-08-14,high,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czzk1n6
86czyug8y,"We need to enhance the Day Book module by adding an RBL (Refund Bank Ledger) value field for: Cancellation Refunds Security Refunds Why:",25,poor,"Unassigned",Not set,Not set,"to do","No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyug8y
86czyug77,"Impelement Edit Option in Daybook",25,poor,"Unassigned",Not set,normal,"to do","Missing/short description (<15);No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyug77
86czyudfu,"Day Book – Add RBL Value for Cancellation Refund & Security Refund – Backend",25,poor,"Unassigned",Not set,Not set,"to do","No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyudfu
86czyt7v9,"Create Wireframes for ZiyAI Project",40,poor,"Lakshmi K M",2025-08-11,high,"in progress","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czyt7v9
86czyr9de,"Training Task – Module 1",70,poor,"Lakshmi K M;Abhiram s Kumar;Sanu Sujanan N",Not set,normal,"to do","No due date;Description missing context (what/why)",https://app.clickup.com/t/86czyr9de
86czyr3ej,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyr3ej
86czyqx00,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyqx00
86czyqupt,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyqupt
86czyqpw6,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyqpw6
86czynjnx,"Explore & Research Zapier + Notion for Ziy.ai Project Design",55,poor,"Lakshmi K M",2025-08-11,high,"in progress","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czynjnx
86czy6mg4,"Develop Front-End for Smart Store Insight Project",70,poor,"Abhiram s Kumar",2025-08-10,urgent,"to do","Description missing context (what/why);Overdue but not completed",https://app.clickup.com/t/86czy6mg4
86czy5p26,"Cresento Program — Poster Design",40,poor,"Lakshmi K M",2025-08-10,urgent,"cancelled","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czy5p26
86czxvwc3,"Adding Clikup Api To Clokify",10,poor,"Unassigned",Not set,Not set,"in progress","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czxvwc3
86czxvqfa,"Upload Backend to AWS",10,poor,"Unassigned",Not set,Not set,"complete","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czxvqfa
86czxqcxf,"ClickUp API – Fetch Tasks by Space or Status – Node.js",55,poor,"Unassigned",Not set,normal,"in progress","No assignee;No due date;Description missing context (what/why)",https://app.clickup.com/t/86czxqcxf
86czxj6nj,"Store Insights - Frontend Creation",25,poor,"Unassigned",Not set,normal,"in progress","Missing/short description (<15);No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czxj6nj
86czxj0zw,"Store Insigts",25,poor,"Unassigned",Not set,Not set,"in progress","No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czxj0zw
86czwfaxa,"Installing vs code , android studio and flutter",10,poor,"Unassigned",Not set,Not set,"cancelled","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czwfaxa
86czw5c2w,"CEO Dashboard – Smart Insights Overview",55,poor,"Lakshmi K M",Not set,high,"complete","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czw5c2w
86czw0vve,"Product Knowledge Book – Fix Spelling & Update Branding – UI/UX",55,poor,"Lakshmi K M",Not set,high,"planning","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czw0vve
86czw0tg5,"Company Book – Redesign ",55,poor,"Lakshmi K M",Not set,high,"planning","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czw0tg5
86czvq0zp,"Multi-Store Music Control Dashboard – Review Requirements & Create Task List – Planning",55,poor,"Abhiram s Kumar",Not set,urgent,"to do","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czvq0zp
86czvp5bq,"[WhatsApp Validation] – Automate Bulk Number Status Check",70,poor,"Abhiram s Kumar",Not set,high,"on hold","No due date;Description missing expected output/definition of done",https://app.clickup.com/t/86czvp5bq
86czvdp15,"Set Up 5 Emails for brynexapparels.in using Zoho Mail (Free)",55,poor,"Abhiram s Kumar",2025-08-02,normal,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czvdp15
86czva2tw,"Design Posters for Upcoming Staff Incentive Program",40,poor,"Lakshmi K M",Not set,urgent,"complete","Missing/short description (<15);No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czva2tw
86czuz0mp,"Design Rootments Billing SOP",55,poor,"Lakshmi K M",2025-07-30,high,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czuz0mp
86czuyw90,"Develop Intern Hiring Webpage",70,poor,"Abhiram s Kumar",2025-07-30,high,"to do","Description missing context (what/why);Overdue but not completed",https://app.clickup.com/t/86czuyw90
86czup6cj,"Plan Tasks for New UI/UX Design Intern",55,poor,"Lakshmi K M",Not set,Not set,"on hold","No due date;No priority;Description missing expected output/definition of done",https://app.clickup.com/t/86czup6cj
86czu6rdm,"Build Internship Hiring Webpage",55,poor,"Lakshmi K M",Not set,high,"cancelled","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czu6rdm
86cztkthv,"ItemSearch – Fix Item Details Not Fetching by Item Code – Backend",55,poor,"Abhiram s Kumar",2025-08-01,urgent,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cztkthv
86cztf6db,"Integration of Es-Lint",10,poor,"Unassigned",Not set,Not set,"in progress","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cztf6db
86czteaa8,"Review and ensure alignment with design system",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czteaa8
86cztea8c,"Design Subscreens for Modules",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cztea8c
86cztea88,"Design Subscreens for Assessments",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cztea88
86cztea7b,"Design Subscreens for Branches",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cztea7b
86czte9v6,"LMS Dashboard – Design Subscreens ",70,poor,"Lakshmi K M",Not set,high,"complete","No due date;Description missing context (what/why)",https://app.clickup.com/t/86czte9v6
86czt66n6,"Design Inner Screens of LMS Dashboard",25,poor,"Lakshmi K M",Not set,Not set,"complete","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czt66n6
86czrzdgc,"Implement message logging for all restaurant-to-customer WhatsApp communications",70,poor,"Abhiram s Kumar",Not set,urgent,"to do","No due date;Description missing expected output/definition of done",https://app.clickup.com/t/86czrzdgc
86czrzddn,"Bulk Message API for Restaurants",55,poor,"Abhiram s Kumar",Not set,urgent,"to do","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrzddn
86czrzdbw,"Implement WhatsApp Template Message Logic",55,poor,"Abhiram s Kumar",Not set,urgent,"to do","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrzdbw
86czrzd7v,"Develop Order API",55,poor,"Abhiram s Kumar",Not set,urgent,"complete","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrzd7v
86czrzd5y,"Integrate WhatsApp Catalog in flow",55,poor,"Abhiram s Kumar",Not set,urgent,"to do","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrzd5y
86czrzd3e,"Integrate Carousel Messages in order flow",70,poor,"Abhiram s Kumar",Not set,urgent,"to do","No due date;Description missing expected output/definition of done",https://app.clickup.com/t/86czrzd3e
86czrzczn,"Implement delivery zone check on customer location",70,poor,"Abhiram s Kumar",Not set,urgent,"complete","No due date;Description missing context (what/why)",https://app.clickup.com/t/86czrzczn
86czrzcv5,"Add location fields in Restaurant schema",70,poor,"Abhiram s Kumar",Not set,normal,"complete","No due date;Description missing context (what/why)",https://app.clickup.com/t/86czrzcv5
86czrvc3z,"Module Screen",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrvc3z
86czrvbva,"Training Screen",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrvbva
86czrvbqw,"Employee Management",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrvbqw
86czrvbmn,"Dashboard",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrvbmn
86czrvacu,"Redesign Key Screens",25,poor,"Lakshmi K M",Not set,Not set,"complete","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czrvacu
86czqkb56,"Cash To Bank Auto Clear implimentation",10,poor,"Unassigned",Not set,Not set,"complete","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czqkb56
86czqkauk,"Updation In Booking Report",10,poor,"Unassigned",Not set,Not set,"to do","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czqkauk
86czqk9u8,"Updation in Security Report",10,poor,"Unassigned",Not set,Not set,"in progress","Missing/short description (<15);No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czqk9u8
86czqk3k3,"Rootfin",25,poor,"Unassigned",Not set,normal,"to do","Missing/short description (<15);No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czqk3k3
86czqk0xm,"Add Attachment Input section in Rootfin",40,poor,"Unassigned",2025-07-22,normal,"complete","Missing/short description (<15);No assignee;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czqk0xm
86czqhggd,"Update All Outdated Visual Assets on SuitorGuy Website",55,poor,"Abhiram s Kumar",2025-07-21,urgent,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czqhggd
86czptrat,"Prepare Release Plan for RootFin",55,poor,"Sanu Sujanan N",2025-07-18,urgent,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czptrat
86czpkebz,"Clockify Time Tracking Alerts via WhatsApp",40,poor,"Abhiram s Kumar",Not set,low,"complete","Missing/short description (<15);No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czpkebz
86czpjy12,"Prepare for CEO Review & Feedback",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czpjy12
86czpjxqk,"Finalize the Design for Presentation",25,poor,"Lakshmi K M",Not set,Not set,"to do","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czpjxqk
86cznk5dd,"Set Up GitHub to AWS CI/CD Pipeline",55,poor,"Abhiram s Kumar",2025-07-16,urgent,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cznk5dd
86cznk4qt,"Host Product Unique Code Generation Tool in AWS",55,poor,"Abhiram s Kumar",2025-07-16,urgent,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cznk4qt
86cznk4kj,"Host LMS Production in AWS",55,poor,"Abhiram s Kumar",2025-07-16,urgent,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cznk4kj
86cznk46z,"Host RootFin Production in AWS",55,poor,"Abhiram s Kumar",2025-07-16,urgent,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cznk46z
86cznjzx5,"Host Backend in AWS (Test)",70,poor,"Abhiram s Kumar",2025-07-15,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cznjzx5
86czmq1ak,"Nulinz Attendance Dashboard Redesign",40,poor,"Lakshmi K M",Not set,urgent,"complete","Missing/short description (<15);No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czmq1ak
86czmbrg7,"Need Editing in Suitor Guy Website",55,poor,"Abhiram s Kumar",Not set,urgent,"complete","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czmbrg7
86czmb8qb,"Share the actual images submitted for the website",40,poor,"Lakshmi K M",Not set,urgent,"complete","Missing/short description (<15);No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czmb8qb
86czm38qd,"Remove order ID from pre-payment summary and add “Add More Items” option",55,poor,"Abhiram s Kumar",Not set,normal,"complete","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czm38qd
86czm38nz,"Add item name, quantity control (+/-), and price to menu list",55,poor,"Abhiram s Kumar",Not set,normal,"complete","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czm38nz
86czm38kw,"Fetch menu from DB instead of hardcoded list",70,poor,"Abhiram s Kumar",Not set,normal,"complete","No due date;Description missing expected output/definition of done",https://app.clickup.com/t/86czm38kw
86czm329x,"Verify WhatsApp Message Delivery to Restaurant",55,poor,"Abhiram s Kumar",2025-07-10,normal,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czm329x
86czm322h,"Allow order creation even if Razorpay paid number ≠ session number (to avoid missing orders)",55,poor,"Abhiram s Kumar",2025-07-10,urgent,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czm322h
86czm311z,"Add restaurantId Field to Orders Collection",70,poor,"Abhiram s Kumar",2025-07-10,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czm311z
86czkp62p,"Send notifications to customer and restaurant after payment",55,poor,"Unassigned",Not set,Not set,"complete","No assignee;No due date;No priority",https://app.clickup.com/t/86czkp62p
86czkp5qt,"Handle Razorpay payment events and create order",40,poor,"Unassigned",Not set,Not set,"complete","No assignee;No due date;No priority;Description missing expected output/definition of done",https://app.clickup.com/t/86czkp5qt
86czkp4zf,"Create webhook endpoint and verify Razorpay signature",40,poor,"Unassigned",Not set,Not set,"complete","No assignee;No due date;No priority;Description missing expected output/definition of done",https://app.clickup.com/t/86czkp4zf
86czknwf8,"Implement Razorpay Webhook for Payment Status Tracking",70,poor,"Abhiram s Kumar",2025-07-09,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czknwf8
86czknrun,"Update location request message to be more clear",70,poor,"Abhiram s Kumar",Not set,normal,"complete","No due date;Description missing context (what/why)",https://app.clickup.com/t/86czknrun
86czhz7jg,"Ai integration",25,poor,"Unassigned",2025-07-05,normal,"in progress","Missing/short description (<15);No assignee;Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czhz7jg
86czfze92,"Design Zorucci SOP",55,poor,"Lakshmi K M",2025-07-04,high,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czfze92
86czf3nwn,"Design Toastmasters Brochure",25,poor,"Lakshmi K M",Not set,Not set,"complete","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czf3nwn
86czeq1h1,"Intergrate nulinz api into lms - not start now. discuss with me before doing this",25,poor,"Abhiram s Kumar",Not set,Not set,"on hold","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czeq1h1
86czen6f9,"RootFin Financial Summary Report (Feature & Regression Testing)",70,poor,"Sanu Sujanan N",2025-06-26,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czen6f9
86czdqxtq,"Designing AI Project Main Screens",40,poor,"Lakshmi K M",Not set,urgent,"complete","Missing/short description (<15);No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czdqxtq
86czcgc0g,"Connect OpenAI API to Backend and Return Suggestions",55,poor,"Abhiram s Kumar",2025-06-21,low,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czcgc0g
86czakrz4,"Create Instagram Post Posters for a Club",55,poor,"Lakshmi K M",Not set,high,"complete","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czakrz4
86cza0y85,"Creating PPT For Training Designers ",40,poor,"Lakshmi K M",Not set,Not set,"complete","No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cza0y85
86cz99pmj,"Implement  Rootfin Admin Read, Update, and Delete Operations – Financial Summary Report",70,poor,"Abhiram s Kumar",2025-06-13,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz99pmj
86cz8enmn,"Design Brochure",25,poor,"Lakshmi K M",Not set,Not set,"complete","Missing/short description (<15);No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz8enmn
86cz80ny0,"Research & Build dummy Basic Dashboard using Apache Superset",55,poor,"Abhiram s Kumar",2025-06-09,high,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz80ny0
86cz6j9pm,"Fix Mandatory/Assigned Training Updation Issue Post Deployment",70,poor,"Abhiram s Kumar",2025-06-04,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz6j9pm
86cz6ed83,"Deploy RootFin to Testing Environment (Similar to LMS Setup)",70,poor,"Abhiram s Kumar",2025-06-04,normal,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz6ed83
86cz6e67g,"Migrate Completed Assigned Trainings to Mandatory Section – Foundation of Service",70,poor,"Abhiram s Kumar",2025-06-04,urgent,"in progress","Description missing context (what/why);Overdue but not completed",https://app.clickup.com/t/86cz6e67g
86cz66ehq,"Set Up MongoDB Atlas & Connect to Testing Backend",70,poor,"Abhiram s Kumar",2025-06-03,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz66ehq
86cz5rmqk,"Deploy LMS Testing Environment from rootmentsdev GitHub to Render/Vercel & Create Testing Environment Deployment Documentation(Google Docs & PDF)",70,poor,"Abhiram s Kumar",2025-06-03,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz5rmqk
86cz59zqh,"Create Subdomain & Point Item Search App to Vercel (itemsearch.rootments.live)",70,poor,"Abhiram s Kumar",2025-06-02,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz59zqh
86cz4ed4p,"Deploy (Production) – Web Version of Item Search Tool",70,poor,"Abhiram s Kumar",2025-05-30,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz4ed4p
86cz4ecr8,"Deploy(Test ENV) – Web Version of Item Search Tool for iOS Users",70,poor,"Abhiram s Kumar",2025-05-30,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz4ecr8
86cz47kzd,"Fix & Deploy – LMS Backend Testing Environment on Render (testenv branch)",70,poor,"Abhiram s Kumar",2025-05-30,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz47kzd
86cz420zd,"Build – Web Version of Item Search Tool for iOS Users",70,poor,"Abhiram s Kumar",2025-05-30,Not set,"complete","No priority;Description missing context (what/why)",https://app.clickup.com/t/86cz420zd
86cz3n136,"Research how to fetch reviews and respond to reviews for all our stores",55,poor,"Abhiram s Kumar",2025-05-29,urgent,"cancelled","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cz3n136
86cz34mj1,"Build – Reputa Frontend UI & Commit via Structured Branching",70,poor,"Abhiram s Kumar",Not set,normal,"complete","No due date;Description missing context (what/why)",https://app.clickup.com/t/86cz34mj1
86cz2u38p,"Fix – LMS – Mandatory Training Assignment by Designation",55,poor,"Abhiram s Kumar",2025-05-26,urgent,"cancelled","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cz2u38p
86cz1whxe,"Feature – Income & Expenses – Prevent Double Submission with Loading State",70,poor,"Abhiram s Kumar",2025-05-23,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz1whxe
86cz1nqtq,"Run – RootFin Frontend & Backend Without Console Errors",55,poor,"Abhiram s Kumar",2025-05-22,urgent,"complete","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz1nqtq
86cz16kq7,"Deploy – Website to Render",70,poor,"Abhiram s Kumar",2025-05-21,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz16kq7
86cz16kgm,"Test Website Responsiveness on All Devices",70,poor,"Abhiram s Kumar",2025-05-21,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz16kgm
86cz16k1j,"Integrate Website Form with Google Sheets",55,poor,"Abhiram s Kumar",2025-05-21,urgent,"cancelled","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86cz16k1j
86cz1626f,"Design & Develop Complete Website",70,poor,"Abhiram s Kumar",2025-05-21,urgent,"complete","Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86cz1626f